company_name,website,primary_category,subcategory,hq_country,status
LocalStack,localstack.cloud,Developer Tools,Cloud Emulator,Switzerland,active
TensorZero,tensorzero.com,AI/ML,LLM Operations Platform,United States,active
Zep,getzep.com,AI/ML,AI Agent Memory,United States,active
Supermemory,supermemory.ai,AI/ML,AI Memory Platform,United States,active
LangMem,langmem.ai,AI/ML,LLM Memory SDK,United States,active
testRigor,testrigor.com,Developer Tools,AI Test Automation,United States,active
Docmost,docmost.com,Developer Tools,Open Source Wiki,United States,active
Zenhub,zenhub.com,Developer Tools,GitHub-Native Project Management,Canada,active
Iteration X,iterationx.com,Developer Tools,Product Bug Reporting,United States,active
Atono,atono.io,Developer Tools,Unified Developer Workflow,United States,active
Develocity,gradle.com,Developer Tools,Build Performance Analytics,United States,active
Check Point,checkpoint.com,Security,Firewall & Network Security,Israel,active
Contextual AI,contextual.ai,AI/ML,Enterprise RAG Platform,United States,active
Pathway,pathway.com,AI/ML,Real-Time Data Processing,France,active
LightRAG,lightrag.net,AI/ML,Graph-Enhanced RAG,China,active
Metis,metisdata.io,Data,Database Observability,Israel,acquired
Estuary,estuary.dev,Data,Real-Time Data Platform,United States,active
EdgeOne Pages,edgeone.ai,Cloud,Edge Deployment Platform,China,active
Void,voideditor.com,Developer Tools,AI Code Editor,United States,active
Langwatch,langwatch.ai,AI/ML,LLM Monitoring,Netherlands,active
Orkes,orkes.io,Developer Tools,Workflow Orchestration,United States,active
Zeebe,camunda.com,Developer Tools,Workflow Engine,Germany,active
Tusk,usetusk.ai,Developer Tools,AI Test Generation,United States,active
Upwind,upwind.io,Security,Cloud Runtime Security,Israel,active
Sweet Security,sweet.security,Security,Cloud Runtime Security,Israel,active
DuploCloud,duplocloud.com,Platform Engineering,DevOps Automation Platform,United States,active
Armory,armory.io,DevOps,Continuous Deployment,United States,active
Telebugs,telebugs.com,Developer Tools,Error Monitoring,Poland,active
Alacrity,alacritysec.com,Security,Account Takeover Prevention,United States,active
Mendral,mendral.ai,DevOps,AI DevOps Engineer,United States,active
Paradime,paradime.io,Data & Analytics,Analytics Engineering,United States,active
Tracecat,tracecat.com,Security,SOAR / Security Automation,United States,active
Konfig,konfigthis.com,API Tools,SDK Generation,United States,active
Marker.io,marker.io,Testing,Bug Reporting,Belgium,active
BugHerd,bugherd.com,Testing,Visual Feedback & Bug Tracking,Australia,active
Sofy,sofy.ai,Testing,Mobile App Testing,United States,active
Tobiko Data,tobikodata.com,Data & Analytics,Data Transformation,United States,active
Kubiya,kubiya.ai,DevOps,AI DevOps Automation,Israel,active
Cubic,cubic.dev,AI Coding Tools,AI Code Review,United Kingdom,active
Ryvn,ryvn.ai,DevOps,Cloud Deployment,United States,active
Kargo,kargo.io,DevOps,GitOps / CD,United States,active
Akuity,akuity.io,DevOps,GitOps / Argo CD Platform,United States,active
Polar Signals,polarsignals.com,Observability,Continuous Profiling,Germany,active
Indent,indent.com,Security,Access Request Management,United States,active
Cerby,cerby.com,Security,Identity Automation,United States,active
Lumos,lumos.com,Security,Identity Governance (IGA),United States,active
Authzed,authzed.com,Security,Authorization / Permissions,United States,active
Styra,styra.com,Security,Policy Management (OPA),United States,active
Shortest,shortest.com,Testing,AI E2E Testing,United States,active
Bug0,bug0.ai,Testing,AI Bug Detection,United States,active
Striim,striim.com,Data & Analytics,Real-time Data Integration / CDC,United States,active
Agno,agno.com,AI Frameworks,AI Agent Framework,United States,active
Wave Terminal,waveterm.dev,Developer Tools,Terminal Emulator,United States,active
Nova,nova.app,Developer Tools,Code Editor / IDE,United States,active
Helix,helix-editor.com,Developer Tools,Text Editor,Open Source,active
Panic,panic.com,Developer Tools,Mac Developer Software,United States,active
Basecamp,basecamp.com,Project Management,Team Collaboration,United States,active
Slauth,slauth.io,Security,IAM Policy Automation,Israel,active
Archera,archera.ai,FinOps,Cloud Commitment Management,United States,active
Cloudthread,cloudthread.io,FinOps,Cloud Cost Analytics,United States,active
Thoropass,thoropass.com,Security,Compliance Automation,United States,active
Compyl,compyl.com,Security,GRC Platform,United States,active
Resmo,resmo.com,Security,Cloud Asset Discovery,United States,active
Entitle,entitle.io,Security,Just-in-Time Access Management,Israel,active
Anecdotes,anecdotes.ai,Security,Compliance Data Platform,United States,active
Rill,rilldata.com,Data & Analytics,Business Intelligence,United States,active
Pynt,pynt.io,Security,API Security Testing,Israel,active
Digger,digger.dev,DevOps,IaC / GitOps for Terraform,United Kingdom,active
Cleavr,cleavr.io,DevOps,Server & Deployment Management,United States,active
Liqo,liqo.io,Infrastructure,Kubernetes Multi-Cluster,Open Source,active
Customer.io,customer.io,Developer Tools,Marketing Automation for Developers,United States,active
