01-ai | 01.AI | AI API / SDK for Developers | usage | free tier | high lock-in
finicity | Finicity | KYC / KYB / AML API | custom | no free tier | high lock-in
finitestate | FiniteState | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
finix | Finix | Payment Gateway / PSP | usage | no free tier | high lock-in
finout | Finout | Observability / Logging / Tracing | custom | no free tier | medium lock-in
fintoc | Fintoc | Data Integration / ETL / Reverse ETL | usage | no free tier | medium lock-in
finverse | Ayoconnect Brick | Data Integration / ETL / Reverse ETL | custom | no free tier | high lock-in
firebase | Firebase | Backend-as-a-Service | hybrid, Pay-as-you-go (Blaze) | free tier | high lock-in
firebase-crashlytics | Firebase Crashlytics | DBaaS / Serverless Databases | free | free tier | high lock-in
firebolt | Firebolt | DBaaS / Serverless Databases | usage | free tier | medium lock-in
firecamp | Firecamp | Developer Portals / API Management | freemium | free tier | medium lock-in
firecrawl | Firecrawl | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
fireflies-ai | Fireflies AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
firefly | Firefly | CDN / Edge / Acceleration | custom | no free tier | high lock-in
firehydrant | FireHydrant | Observability / Logging / Tracing | freemium | free tier | medium lock-in
firely | Firely | Backend-as-a-Service | subscription | no free tier | low lock-in
firetail | Firetail | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
fireworks-ai | Fireworks AI | Developer Portals / API Management | freemium, $1 | free tier | low lock-in
fis | FIS | Payment Gateway / PSP | custom | no free tier | high lock-in
fiserv | Fiserv | Payment Gateway / PSP | custom | no free tier | high lock-in
fishaudio | FishAudio | AI API / SDK for Developers | freemium | free tier | medium lock-in
fishnet | Fish-Net | Game Development Tools | free | free tier | low lock-in
fission | Fission | CDN / Edge / Acceleration | free | free tier | low lock-in
fivetran | Fivetran | Compliance Automation | freemium, $17.23 | free tier | medium lock-in
fixie-ai | Fixie AI | AI API / SDK for Developers | freemium | free tier | medium lock-in
fixit | Fixit | Code Assistants / Agent Tooling | free | free tier | low lock-in
flagd | flagd | Feature Flags / Remote Config | free | free tier | low lock-in
flagger | Flagger | Feature Flags / Remote Config | free | free tier | low lock-in
flagr | Flagr | Feature Flags / Remote Config | free | free tier | low lock-in
flagright | Flagright | Fraud & Risk Management | custom | no free tier | high lock-in
flagship-io | Flagship.io | Feature Flags / Remote Config | custom | no free tier | medium lock-in
flagsmith | Flagsmith | Observability / Logging / Tracing | hybrid, $99/mo (Start-Up, 500 users) | free tier | low lock-in
flair | Flair | AI API / SDK for Developers | free | free tier | low lock-in
flake8 | Flake8 | Code Assistants / Agent Tooling | free | free tier | low lock-in
flaml | FLAML | AI API / SDK for Developers | free | free tier | low lock-in
flannel | Flannel | CDN / Edge / Acceleration | free | free tier | low lock-in
flare | Flare | Crash Reporting | subscription | no free tier | medium lock-in
flashcat | Flashcat | Observability / Logging / Tracing | freemium | free tier | low lock-in
flask | Flask | Backend-as-a-Service | free | free tier | low lock-in
flask-socketio | Flask-SocketIO | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
flatcar-linux | Flatcar Linux | CDN / Edge / Acceleration | free | free tier | low lock-in
flatfile | Flatfile | Data Integration / ETL / Reverse ETL | freemium, $0 | free tier | medium lock-in
flathub | Flathub | CI/CD for Applications | free | free tier | low lock-in
flatlogic | Flatlogic | No-code / Low-code App Builders | freemium | free tier | medium lock-in
flatpak | Flatpak | CI/CD for Applications | free | free tier | low lock-in
flax | Flax | AI API / SDK for Developers | free | free tier | low lock-in
fleek | Fleek | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
flet | Flet | No-code / Low-code App Builders | free | free tier | low lock-in
flexera | Flexera | Observability / Logging / Tracing | custom | no free tier | high lock-in
flexpa | Flexpa | Compliance Automation | custom | no free tier | low lock-in
flexpay | FlexPay | Payments Orchestration | custom | no free tier | medium lock-in
flexprice | Flexprice | Subscription Billing | freemium | free tier | medium lock-in
flightcontrol | Flightcontrol | CRM / Lifecycle Automation | freemium | free tier | medium lock-in
fliki | Fliki | AI API / SDK for Developers | freemium | free tier | medium lock-in
flipio-observability | Flip.io | Observability / Logging / Tracing | unknown | no free tier | low lock-in
flipper | Flipper | Release / App Store Operations | free | free tier | low lock-in
flipsite | Flipsite | CDN / Edge / Acceleration | subscription | no free tier | high lock-in
flipt | Flipt | Observability / Logging / Tracing | subscription, $200 | free tier | low lock-in
flixtech | FlixTech (Flix API) | Developer Portals / API Management | unknown | no free tier | high lock-in
floating-ui | Floating UI | No-code / Low-code App Builders | free | free tier | low lock-in
flood | Flood | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
flouci | Flouci | Payment Gateway / PSP | usage | no free tier | high lock-in
flow-cl | Flow | Payment Gateway / PSP | unknown | no free tier | high lock-in
flowable | Flowable | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
flowbite | Flowbite | No-code / Low-code App Builders | freemium | free tier | low lock-in
flower | Flower | Observability / Logging / Tracing | free | free tier | low lock-in
flowforge | FlowFuse | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
flowframes | Flowframes | AI API / SDK for Developers | free | free tier | low lock-in
flowgear | Flowgear | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
flowgpt | FlowGPT | AI API / SDK for Developers | free | free tier | low lock-in
flowise | Flowise | AI API / SDK for Developers | freemium | free tier | low lock-in
flowlu | Flowlu | No-code / Low-code App Builders | freemium | free tier | medium lock-in
flowroute | Flowroute | Messaging API (Email / SMS / Voice) | subscription, $0.00 | free tier | medium lock-in
flows-nocode | Flows.app | No-code / Low-code App Builders | unknown | no free tier | high lock-in
flox | Flox | Monorepo & Build Systems | freemium | free tier | low lock-in
fluent-assertions | Fluent Assertions | Test Automation / Device Cloud | free | free tier | low lock-in
fluent-bit | Fluent Bit | Observability / Logging / Tracing | free | free tier | low lock-in
fluentd | Fluentd | Observability / Logging / Tracing | free | free tier | low lock-in
fluidstack | FluidStack | AI API / SDK for Developers | usage | no free tier | medium lock-in
flutter | Flutter | Release / App Store Operations | free | free tier | low lock-in
flutter-inapp-purchase | flutter_inapp_purchase | In-app Purchase Optimization | free | free tier | low lock-in
flutterflow | FlutterFlow | No-code / Low-code App Builders | freemium | free tier | medium lock-in
flutterwave | Flutterwave | Payment Gateway / PSP | unknown, Usage-based | no free tier | low lock-in
fluxcd | FluxCD | CI/CD for Applications | free | free tier | low lock-in
fly-io | Fly.io | CDN / Edge / Acceleration | subscription, $29/month | no free tier | medium lock-in
flyte | Flyte | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
flyway | Flyway | DBaaS / Serverless Databases | freemium | free tier | low lock-in
fmod | FMOD | Game Development Tools | freemium | free tier | medium lock-in
fnm | fnm | CDN / Edge / Acceleration | free | free tier | low lock-in
folium | Folium | Maps / Geolocation / Routing | free | free tier | low lock-in
fonoa | Fonoa | Invoicing / Taxes / Sales Tax | subscription, $5 | no free tier | medium lock-in
foodics | Foodics | Payment Gateway / PSP | subscription | no free tier | high lock-in
footprint | Footprint | KYC / KYB / AML API | freemium | free tier | medium lock-in
forcepoint | Forcepoint | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
fordefi | Fordefi | Identity / Auth / User Management | custom | no free tier | high lock-in
forem | Forem | Customer Support SDK / In-app Helpdesk | free | free tier | low lock-in
forest-admin | Forest Admin | DBaaS / Serverless Databases | freemium | free tier | medium lock-in
forestry | Forestry | No-code / Low-code App Builders | freemium | free tier | medium lock-in
forgejo | Forgejo | CRM / Lifecycle Automation | free | free tier | low lock-in
forgerock | ForgeRock | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
fork | Fork | CRM / Lifecycle Automation | subscription | no free tier | low lock-in
formatjs | FormatJS | Localization / Translation API | free | free tier | low lock-in
formbricks | Formbricks | Product Analytics | freemium | free tier | low lock-in
formik | Formik | No-code / Low-code App Builders | free | free tier | low lock-in
formspree | FormSpree | Messaging API (Email / SMS / Voice) | subscription | free tier | low lock-in
fortanix | Fortanix | Secrets Management | custom | no free tier | high lock-in
forter | Forter | Fraud & Risk Management | unknown, $1 | no free tier | high lock-in
fortify | Fortify | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
forward-email | Forward Email | Messaging API (Email / SMS / Voice) | freemium | free tier | low lock-in
fospha | Fospha | Mobile Attribution / MMP | custom | no free tier | high lock-in
fossa | FOSSA | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
foundry | Foundry | Backend-as-a-Service | free | free tier | low lock-in
foursquare | Foursquare | Maps / Geolocation / Routing | freemium, $0/month | free tier | medium lock-in
foxdata | FoxData | App Growth Tooling (ASO) | freemium | free tier | medium lock-in
foxit-pdf | Foxit PDF | Object Storage / Media API | subscription | no free tier | medium lock-in
fp-ts | fp-ts | Backend-as-a-Service | free | free tier | low lock-in
fpm | fpm | CI/CD for Applications | free | free tier | low lock-in
fragment-dev | Fragment | Payment Gateway / PSP | usage | no free tier | high lock-in
framer | Framer | No-code / Low-code App Builders | freemium | free tier | high lock-in
framer-motion | Framer Motion | Real-time / WebSocket Infrastructure | free | free tier | low lock-in
frappe | Frappe | No-code / Low-code App Builders | freemium | free tier | low lock-in
frase | Frase | Search / Recommendations API | subscription | no free tier | medium lock-in
fraudio | Fraudio | Fraud & Risk Management | subscription | no free tier | high lock-in
fraudlogix | Fraudlogix | Mobile Attribution / MMP | custom | no free tier | high lock-in
freecodecamp | freeCodeCamp | Developer Portals / API Management | free | free tier | low lock-in
freee | Freee | Invoicing / Taxes / Sales Tax | subscription | no free tier | high lock-in
freeplay-ai | Freeplay | Observability / Logging / Tracing | custom | no free tier | medium lock-in
freestar | Freestar | Ad Monetization / Mediation | custom | no free tier | high lock-in
freezegun | FreezeGun | Test Automation / Device Cloud | free | free tier | low lock-in
fresh | Fresh | Backend-as-a-Service | free | free tier | low lock-in
freshdesk | Freshdesk | Customer Support SDK / In-app Helpdesk | freemium | free tier | medium lock-in
freshping | Freshping | Observability / Logging / Tracing | freemium | free tier | low lock-in
freshstatus | FreshStatus | Observability / Logging / Tracing | freemium | free tier | medium lock-in
freshworks | Freshworks | Release / App Store Operations | subscription | no free tier | medium lock-in
friendliai | FriendliAI | Developer Portals / API Management | freemium, $1 | free tier | low lock-in
frisby-js | Frisby.js | Test Automation / Device Cloud | free | free tier | low lock-in
front | Front | Customer Support SDK / In-app Helpdesk | seat | no free tier | medium lock-in
frontegg | Frontegg | Security Scanning / Mobile App Sec | freemium | free tier | medium lock-in
frontend-masters | Frontend Masters | Developer Portals / API Management | subscription | no free tier | low lock-in
fsspec | fsspec | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
fugue | Fugue | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
fujitsu-ai | Fujitsu Kozuchi | AI API / SDK for Developers | custom | no free tier | high lock-in
fullsession | FullSession | Session Replay / UX Analytics | subscription, $23/mo | no free tier | medium lock-in
fullstory | FullStory | Product Analytics | unknown, $9,961-$27,500/year | free tier | medium lock-in
functional | Functional | Crash Reporting | unknown | no free tier | medium lock-in
functionize | Functionize | Test Automation / Device Cloud | custom | no free tier | high lock-in
fungies | Fungies | Subscription Billing | usage | free tier | medium lock-in
funnelfox | FunnelFox | In-app Purchase Optimization | subscription | no free tier | medium lock-in
fusio | Fusio | Developer Portals / API Management | free | free tier | low lock-in
fusionauth | FusionAuth | Identity / Auth / User Management | hybrid, $37/mo (Basic Cloud) | free tier | low lock-in
futureagi | FutureAGI | AI API / SDK for Developers | freemium | free tier | medium lock-in
fuzz-testing-afl | Fuzz testing – AFL++ | Security Scanning / Mobile App Sec | free | free tier | low lock-in
fyber | Fyber | Ad Monetization / Mediation | custom | no free tier | high lock-in
fyne | Fyne | No-code / Low-code App Builders | free | free tier | low lock-in
fzf | fzf | CDN / Edge / Acceleration | free | free tier | low lock-in
gainsight | Gainsight | CRM / Lifecycle Automation | custom | no free tier | high lock-in
galileo | Galileo | AI API / SDK for Developers | freemium | free tier | high lock-in
galileo-ai | Galileo AI | Code Assistants / Agent Tooling | freemium | free tier | medium lock-in
game-ci | GameCI | Game Development Tools | free | free tier | low lock-in
gameanalytics | GameAnalytics | Product Analytics | freemium | free tier | medium lock-in
gamemaker | GameMaker | Game Development Tools | freemium | free tier | high lock-in
gamerefinery | GameRefinery | App Growth Tooling (ASO) | custom | no free tier | high lock-in
gamesparks | GameSparks | Game Development Tools | free | free tier | high lock-in
gameye | Gameye | Backend-as-a-Service | custom | no free tier | medium lock-in
garagehq | GarageHQ | Object Storage / Media API | free | free tier | low lock-in
garden | Garden | CI/CD for Applications | freemium | free tier | low lock-in
garnet | Garnet | DBaaS / Serverless Databases | free | free tier | low lock-in
garoon | Garoon | No-code / Low-code App Builders | seat | no free tier | high lock-in
gatekeeper | Gatekeeper | Security Scanning / Mobile App Sec | free | free tier | low lock-in
gatewayapi | GatewayAPI | Messaging API (Email / SMS / Voice) | usage | no free tier | medium lock-in
gatling | Gatling | Test Automation / Device Cloud | freemium | free tier | low lock-in
gatsby | Gatsby | Backend-as-a-Service | freemium | free tier | low lock-in
gatus | Gatus | Observability / Logging / Tracing | free | free tier | low lock-in
gbg | GBG | KYC / KYB / AML API | custom | no free tier | high lock-in
gcash | GCash | Payment Gateway / PSP | usage | no free tier | medium lock-in
gceasy | GCEasy | Observability / Logging / Tracing | freemium | free tier | low lock-in
gcore | Gcore | CDN / Edge / Acceleration | subscription, €16.00 | no free tier | medium lock-in
gearset | Gearset | CI/CD for Applications | subscription | no free tier | medium lock-in
geckoboard | Geckoboard | Data Integration / ETL / Reverse ETL | subscription | no free tier | medium lock-in
geeklab | Geeklab | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
gefyra | Gefyra | CDN / Edge / Acceleration | free | free tier | low lock-in
gelato-network | Gelato | Backend-as-a-Service | usage | free tier | medium lock-in
gemini-cli | Gemini CLI | AI API / SDK for Developers | freemium | free tier | medium lock-in
gemma-google | Gemma (Google) | AI API / SDK for Developers | free | free tier | low lock-in
genezio | Genezio | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
genrocket | GenRocket | Test Automation / Device Cloud | custom | no free tier | high lock-in
gensim | Gensim | AI API / SDK for Developers | free | free tier | low lock-in
geoapify | Geoapify | Maps / Geolocation / Routing | subscription, $59 | free tier | medium lock-in
geocodio | Geocodio | Maps / Geolocation / Routing | subscription, $1.00 | free tier | medium lock-in
geoedge | GeoEdge | Mobile Attribution / MMP | custom | no free tier | high lock-in
geopandas | GeoPandas | Maps / Geolocation / Routing | free | free tier | low lock-in
gerrit | Gerrit | Code Assistants / Agent Tooling | free | free tier | low lock-in
get3d | Get3D | AI API / SDK for Developers | free | free tier | low lock-in
getastra | GetAstra | Security Scanning / Mobile App Sec | subscription | no free tier | medium lock-in
getblock | GetBlock | Developer Portals / API Management | freemium | free tier | low lock-in
getfocal | Focal | KYC / KYB / AML API | custom | no free tier | high lock-in
getui | Getui | Push / In-app Messaging SDK | freemium | free tier | medium lock-in
gguf-format | GGUF Format | AI API / SDK for Developers | free | free tier | low lock-in
ggwp | GGWP | Content Moderation API | custom | no free tier | high lock-in
gh-cli | gh CLI | CDN / Edge / Acceleration | free | free tier | medium lock-in
ghost | Ghost | No-code / Low-code App Builders | subscription, $50/month | free tier | low lock-in
ghostinspector | GhostInspector | Test Automation / Device Cloud | subscription | no free tier | medium lock-in
ghostty | Ghostty | CDN / Edge / Acceleration | free | free tier | low lock-in
giant-swarm | Giant Swarm | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
gigapipe | Gigapipe | Observability / Logging / Tracing | subscription | no free tier | low lock-in
gimlet | Gimlet | Backend-as-a-Service | freemium | free tier | low lock-in
gin | Gin | Backend-as-a-Service | free | free tier | low lock-in
gini-api | Gini API | AI API / SDK for Developers | custom | no free tier | high lock-in
ginkgo | Ginkgo | Test Automation / Device Cloud | free | free tier | low lock-in
giskard | Giskard | AI API / SDK for Developers | freemium | free tier | low lock-in
gitar | Gitar | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
gitbook | GitBook | Developer Portals / API Management | freemium | free tier | medium lock-in
gitbutler | GitButler | CRM / Lifecycle Automation | free | free tier | low lock-in
gitclear | GitClear | Observability / Logging / Tracing | freemium | free tier | low lock-in
gitea | Gitea | CRM / Lifecycle Automation | free | free tier | low lock-in
gitea-packages | Gitea Packages | CDN / Edge / Acceleration | free | free tier | low lock-in
gitee | Gitee | CI/CD for Applications | freemium | free tier | medium lock-in
gitguardian | GitGuardian | Secrets Management | freemium, $0 | free tier | medium lock-in
github-actions | GitHub Actions | A/B Testing / Experimentation | usage, $0.008/min (Linux) | free tier | medium lock-in
github-advanced-security | GitHub Advanced Security | Security Scanning / Mobile App Sec | seat | no free tier | medium lock-in
github-container-registry | GitHub Container Registry | CDN / Edge / Acceleration | freemium | free tier | low lock-in
github-copilot | GitHub Copilot | AI API / SDK for Developers | seat | no free tier | medium lock-in
gitkraken | Gitkraken | CRM / Lifecycle Automation | freemium | free tier | low lock-in
gitlab | GitLab | CI/CD for Applications | freemium | free tier | low lock-in
gitlab-ci-cd | GitLab CI/CD | A/B Testing / Experimentation | subscription | no free tier | medium lock-in
gitlab-security | GitLab Security | Security Scanning / Mobile App Sec | seat | no free tier | medium lock-in
gitleaks | Gitleaks | Security Scanning / Mobile App Sec | free | free tier | low lock-in
gitlens | GitLens | Code Assistants / Agent Tooling | freemium | free tier | low lock-in
gitness | Gitness | CRM / Lifecycle Automation | free | free tier | low lock-in
gitpod | Gitpod | Code Assistants / Agent Tooling | freemium | free tier | low lock-in
gitui | GitUI | CRM / Lifecycle Automation | free | free tier | low lock-in
gladia | Gladia | AI API / SDK for Developers | freemium | free tier | low lock-in
glassbox | Glassbox | Session Replay / UX Analytics | subscription, $9 | no free tier | high lock-in
glasskube | Glasskube | CDN / Edge / Acceleration | free | free tier | low lock-in
glean | Glean | AI API / SDK for Developers | custom | no free tier | high lock-in
gleap | Gleap | Crash Reporting | freemium | free tier | medium lock-in
glide | Glide | No-code / Low-code App Builders | freemium | free tier | high lock-in
glitchtip | GlitchTip | Performance Monitoring / APM | freemium, $5 per month | free tier | low lock-in
global-payments | Global Payments | Payment Gateway / PSP | custom | no free tier | high lock-in
globalsign | GlobalSign | Secrets Management | subscription | no free tier | medium lock-in
globby | globby | Code Assistants / Agent Tooling | free | free tier | low lock-in
gloo-edge | Gloo Edge | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
gloo-gateway | Gloo Gateway | Developer Portals / API Management | freemium | free tier | low lock-in
gloo-mesh | Gloo Mesh | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
glowroot | Glowroot | Performance Monitoring / APM | free | free tier | low lock-in
gltf-transform | glTF Transform | Game Development Tools | free | free tier | low lock-in
glue | Glue | Code Assistants / Agent Tooling | freemium | free tier | medium lock-in
gmi-cloud | GMI Cloud | Backend-as-a-Service | usage | no free tier | medium lock-in
gmo-cloud | GMO Cloud | Backend-as-a-Service | subscription | no free tier | medium lock-in
gmo-epsilon | GMO Epsilon | Payment Gateway / PSP | custom | no free tier | high lock-in
gmo-payment-gateway | GMO Payment Gateway | Payment Gateway / PSP | custom | no free tier | medium lock-in
go-feature-flag | GO Feature Flag | Feature Flags / Remote Config | free | free tier | low lock-in
go-kit | Go-Kit | Backend-as-a-Service | free | free tier | low lock-in
go-zero | Go-Zero | Backend-as-a-Service | free | free tier | low lock-in
goaccess | GoAccess | Product Analytics | free | free tier | low lock-in
goat-counter | Goat Counter | Product Analytics | freemium | free tier | low lock-in
gocardless | GoCardless | Payment Gateway / PSP | subscription, 0.20 | no free tier | medium lock-in
gocd | GoCD | CI/CD for Applications | free | free tier | low lock-in
gocodeo | GoCodeo | Code Assistants / Agent Tooling | freemium, $9 | free tier | medium lock-in
godot | Godot Engine | Game Development Tools | free | free tier | low lock-in
gogs | Gogs | CRM / Lifecycle Automation | free | free tier | low lock-in
goiabada | Goiabada | Identity / Auth / User Management | free | free tier | low lock-in
goldrush | GoldRush | Developer Portals / API Management | freemium | free tier | low lock-in
golioth | Golioth | Backend-as-a-Service | freemium | free tier | medium lock-in
gomboc-ai | Gomboc.ai | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
gooddata | GoodData | Data Integration / ETL / Reverse ETL | freemium | free tier | medium lock-in
google-admob | Google AdMob | Code Assistants / Agent Tooling | subscription | no free tier | medium lock-in
google-ai-studio | Google AI Studio | AI API / SDK for Developers | freemium | free tier | medium lock-in
google-analytics | Google Analytics | Product Analytics | freemium | free tier | high lock-in
google-artifact-registry | Google Artifact Registry | CI/CD for Applications | usage | free tier | low lock-in
google-bigquery | Google BigQuery | DBaaS / Serverless Databases | freemium, $300 | free tier | medium lock-in
google-cloud-cdn | Google Cloud CDN | CDN / Edge / Acceleration | freemium, $300 | free tier | medium lock-in
google-cloud-python | Google Cloud Python | Developer Portals / API Management | free | free tier | low lock-in
google-cloud-storage | Google Cloud Storage | Object Storage / Media API | freemium, $300 | free tier | medium lock-in
google-cloud-translation | Google Cloud Translation | CRM / Lifecycle Automation | freemium, $300 | free tier | low lock-in
google-gemini-api | Google Gemini API | Developer Portals / API Management | freemium, $2.00 | free tier | medium lock-in
google-gemini-code-assist | Google Gemini Code Assist | AI API / SDK for Developers | freemium, $300 | free tier | medium lock-in
google-jules | Google Jules | AI API / SDK for Developers | freemium | free tier | medium lock-in
google-maps-platform | Google Maps Platform | Maps / Geolocation / Routing | subscription | free tier | medium lock-in
google-perspective-api | Perspective API | Content Moderation API | free | free tier | low lock-in
google-pub-sub | Google Pub/Sub | Real-time / WebSocket Infrastructure | usage | free tier | medium lock-in
google-secret-manager | Google Secret Manager | Secrets Management | freemium, $300 | free tier | medium lock-in
google-vision-ai | Google Vision AI | AI API / SDK for Developers | usage | free tier | low lock-in
gopay | GoPay | Payment Gateway / PSP | usage | no free tier | medium lock-in
goproxy | Goproxy | CDN / Edge / Acceleration | free | free tier | low lock-in
goreplay | GoReplay | Test Automation / Device Cloud | freemium | free tier | low lock-in
gorgias | Gorgias | Customer Support SDK / In-app Helpdesk | subscription, $10/mo | free tier | medium lock-in
gorm | GORM | DBaaS / Serverless Databases | free | free tier | low lock-in
gosearch | GoSearch | Search / Recommendations API | custom | no free tier | high lock-in
gosquared | GoSquared | Product Analytics | subscription | no free tier | low lock-in
got | Got | Backend-as-a-Service | free | free tier | low lock-in
gotenberg | Gotenberg | Developer Portals / API Management | free | free tier | low lock-in
gotify | Gotify | Push / In-app Messaging SDK | free | free tier | low lock-in
gotransverse | Gotransverse | Subscription Billing | custom | no free tier | high lock-in
gpt-pilot | GPT Pilot | AI API / SDK for Developers | free | free tier | low lock-in
gpt4all | GPT4All | AI API / SDK for Developers | free | free tier | low lock-in
gptscript | GPTScript | AI API / SDK for Developers | free | free tier | low lock-in
gr4vy | Gr4vy | Payments Orchestration | subscription | no free tier | medium lock-in
graalvm | GraalVM | CI/CD for Applications | free | free tier | low lock-in
grabpay | GrabPay | Payment Gateway / PSP | usage | no free tier | medium lock-in
gradient | Gradient | AI API / SDK for Developers | usage | no free tier | low lock-in
gradio | Gradio | AI API / SDK for Developers | free | free tier | low lock-in
gradle | Gradle | CI/CD for Applications | freemium | free tier | low lock-in
grafana | Grafana | Observability / Logging / Tracing | freemium | free tier | low lock-in
grafana-faro | Grafana Faro | Observability / Logging / Tracing | free | free tier | low lock-in
grafana-k6 | Grafana k6 | Test Automation / Device Cloud | freemium | free tier | low lock-in
grafana-labs | Grafana Labs | Performance Monitoring / APM | usage, $15/user/mo (Cloud), $8/1K series | free tier | low lock-in
grafana-mimir | Grafana Mimir | Observability / Logging / Tracing | free | free tier | low lock-in
grafana-oncall | Grafana OnCall | Observability / Logging / Tracing | freemium | free tier | low lock-in
grafana-tempo | Grafana Tempo | Observability / Logging / Tracing | free | free tier | low lock-in
grafbase | Grafbase | Developer Portals / API Management | freemium | free tier | medium lock-in
grain | Grain | AI API / SDK for Developers | freemium | free tier | medium lock-in
grammatech | GrammaTech | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
granian | Granian | Backend-as-a-Service | free | free tier | low lock-in
granola-ai | Granola | Customer Support SDK / In-app Helpdesk | freemium | free tier | medium lock-in
granulate | Granulate | CDN / Edge / Acceleration | custom | no free tier | medium lock-in
graphcms | GraphCMS | No-code / Low-code App Builders | freemium | free tier | medium lock-in
graphcore | Graphcore | AI API / SDK for Developers | custom | no free tier | high lock-in
graphile-worker | Graphile Worker | Backend-as-a-Service | free | free tier | low lock-in
graphite | Graphite | CI/CD for Applications | subscription | free tier | medium lock-in
graphite-dev | Graphite Dev | Real-time / WebSocket Infrastructure | freemium | free tier | medium lock-in
graphql-request | graphql-request | Developer Portals / API Management | free | free tier | low lock-in
graphql-yoga | GraphQL Yoga | Developer Portals / API Management | free | free tier | low lock-in
graphweaver | Graphweaver | Developer Portals / API Management | free | free tier | low lock-in
gravit-designer | Gravit Designer | Design Tools / Design-to-Code | freemium | free tier | medium lock-in
gravitee | Gravitee | Data Integration / ETL / Reverse ETL | subscription, $2 | no free tier | low lock-in
graylog | Graylog | Observability / Logging / Tracing | freemium | free tier | low lock-in
great-expectations | Great Expectations | Data Integration / ETL / Reverse ETL | freemium | free tier | low lock-in
gremlin | Gremlin | CDN / Edge / Acceleration | freemium | free tier | medium lock-in
greptile | Greptile | Code Assistants / Agent Tooling | subscription, $30 per seat | free tier | medium lock-in
greptimedb | GreptimeDB | DBaaS / Serverless Databases | freemium | free tier | low lock-in
gretel-ai | Gretel AI | AI API / SDK for Developers | freemium | free tier | low lock-in
greymatter | Greymatter | Backend-as-a-Service | custom | no free tier | high lock-in
greynoise | GreyNoise | Security Scanning / Mobile App Sec | freemium | free tier | low lock-in
gridlines | Gridlines | KYC / KYB / AML API | usage | no free tier | medium lock-in
griffe | Griffe | Developer Portals / API Management | free | free tier | low lock-in
grip-security | Grip Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
griptape | Griptape | AI API / SDK for Developers | freemium | free tier | low lock-in
grist | Grist | DBaaS / Serverless Databases | freemium | free tier | low lock-in
grit | Grit | Code Assistants / Agent Tooling | freemium | free tier | low lock-in
groq | Groq | Developer Portals / API Management | usage, $0.07 | free tier | low lock-in
groundcover | Groundcover | Observability / Logging / Tracing | subscription | free tier | medium lock-in
growingio | GrowingIO | Product Analytics | custom | no free tier | high lock-in
growthbook | GrowthBook | Feature Flags / Remote Config | freemium, $40 / user / month | free tier | low lock-in
grpc | gRPC | Developer Portals / API Management | free | free tier | low lock-in
gruntwork | Gruntwork | CI/CD for Applications | subscription | no free tier | low lock-in
grype | Grype | Security Scanning / Mobile App Sec | free | free tier | low lock-in
gtk | GTK | No-code / Low-code App Builders | free | free tier | low lock-in
gtranslate | GTranslate | Localization / Translation API | subscription | no free tier | medium lock-in
guardarian | Guardarian | Payment Gateway / PSP | usage | no free tier | medium lock-in
guardrails-ai | Guardrails AI | AI API / SDK for Developers | freemium | free tier | low lock-in
guardsquare | Guardsquare | Content Moderation API | freemium | free tier | medium lock-in
guidance | Guidance | AI API / SDK for Developers | free | free tier | low lock-in
guidde | Guidde | Developer Portals / API Management | freemium | free tier | medium lock-in
guidepoint-security | Guidepoint Security | Security Scanning / Mobile App Sec | custom | no free tier | high lock-in
guild-ai | Guild AI | Data Integration / ETL / Reverse ETL | free | free tier | low lock-in
gumlet | Gumlet | Object Storage / Media API | freemium | free tier | medium lock-in
gumloop | Gumloop | No-code / Low-code App Builders | freemium | free tier | high lock-in
gummicube | Gummicube | In-app Purchase Optimization | subscription | no free tier | high lock-in
gumroad | Gumroad | Payment Gateway / PSP | seat, $0.50 | free tier | medium lock-in
gunicorn | Gunicorn | Backend-as-a-Service | free | free tier | low lock-in
